text	label
债券牛皮市诱发基金抛售潮	0
阳光私募去年平均回报10.61% 常士杉夺冠	0
突击检查车险 沪保险监管刮强风暴	0
期市午评：棉花糖再创新高 沪锌橡胶延续强势	0
NYMEX原油期货4日亚洲电子盘小幅反弹	0
易方达策略成长基金将分红 每10份派0.2元	0
社保基金减持中行H股 或高抛低吸参与配售	0
华商基金11日起新增代销渠道	0
10月以来四杠杆债基涨幅逾四成	0
美元走弱提供支持 金属延续反弹走势	0
新能源基金领跑三月首周 两会期间关注结构性机会	0
天津筹建200亿元船舶产业投资基金	0
上周8只基金申请募集 平安大华上报首只基金	0
被动投资风行 指数基金内外开花	0
沪燃收跌0.3% 成品油调价前景未明	0
业绩分化 关注选股能力突出的基金	0
专业人士：石化产品价格上涨趋势已经确立	0
华泰柏瑞获5亿美元QDII额度	0
肖风离职：股东不满博时资产持续缩水	0
私募冠军：绝技是挖掘中小盘 现在看好蓝筹	0
巨额投保安全否：保险经纪骗235万退保金炒股	0
债券投资：从国库券到必备资产配置	0
债基是否还值得投资	0
基金开户数飙升 基民入市意愿明显增强	0
红十月公募尴尬成绩单：仅18%赢大盘	0
期货咨询首考爆棚 投资咨询时代可期	0
公开征求意见成证券期货立法原则	0
全新专户产品问世 期指套利上限100%	0
李德明预测：金价四季度将突破1300美元	0
信用卡被克隆案件频发 高危区刷过卡要及时换卡	0
钢铁贸易企业要在现货经营中积极利用期货工具	0
新年TOT发行提速 18只产品成立	0
单周基金开户数降至7万 50ETF现年内最大净赎回	0
基金公司争食年金蛋糕 竞争或趋激烈	0
美元短期将继续攀升 黄金回调空间有限	0
法规不明 金融领域鲜见并购贷款	0
考试合格率下降3.34% 投资咨询人员缺口凸显	0
太白醉酒拍出900万元天价(图)	0
利多政策接踵而至 农产品夯实价格底部	0
QFII建仓动向曝光 精确潜伏高转送个股	0
大盘蓝筹股票基金12日起发行	0
入市热情爆棚 上周基金开户数突破10万	0
国内农产品期货大面积涨停	0
紧缩愁云笼罩A股上空 私募静候扫货时机	0
CDO巨亏新一轮大规模资产减记在即	0
偶然事件创造ETF套利大空间	0
今年选基金重点看公司	0
海富通旗下股基仓位高下悬殊 基金经理分歧大	0
机构一季度操作大起底：基金减仓 社保化整为零	0
业内人士预计今年基金换手率可能超过2007年	0
基金创新的临界点	0
人民币国际结算的重大意义与现实挑战	0
尚福林：支持符合国民经济需要的期货产品上市	0
工银瑞信旗下四基金增聘何江担任基金经理	0
QFII总数达到72家	0
本月以来沿海干散货运输市场止涨趋跌	0
巴菲特暗示金价有泡沫 为科技股重新正名	0
抓热点擒牛股 看明星基金经理建仓动向	0
NYMEX原油期货1日亚洲电子盘创两年半新高	0
基金看多地产不仅因为中报业绩	0
美国农业部月度供需报告：全球稻谷产量下调	0
一对多业绩分化 首尾相差23个百分点	0
考察：种植面积连年缩小 棉花产业将何去何从	0
公募私募大PK：持币还是持股过节	0
国际棉价大跌两成 有望企稳	0
安信期货：期指下行趋势不改 跌势有望逐渐放缓	0
双汇发展连续涨停 重仓基金排位飙升数十名	0
国内供求紧张加剧 郑糖迎来周期性牛市	0
仓位高低决定股票方向基金业绩	0
从理赔中学习投保要诀 加强人生黄金期保障	0
库存下降 9月钢材市场价格看涨	0
海富通上证非周期行业100ETF21日起发售	0
国际油价4日继续下跌	0
棉价创10年新高 家纺股拟提价应对	0
中海上证50基金新增浦发行为代销机构	0
秋粮丰收成定局 国内现货市场未跟疯	0
泰达荷银集利明起开放赎回	0
探路公司化运作 保险保障基金两要义待解	0
基金公司专户业务回报良好	0
四季度钢价将以区间震荡为主	0
棉价走高路线图：棉农变身棉贩 皮棉涨棉纱跟涨	0
国内商品早盘整体反弹 避险利空黄金	0
现货橡胶价格持平交易清淡 玉米价格继续上涨	0
新股破发致债基浮亏1.22亿	0
有色金属价格下半年处于高位震荡格局	0
危机过后 黄金仍是投资宠儿	0
春节后密集放行11只新基金	0
喜遇大规模净申购 绩优老基金急设限	0
债基上演净值反扑 年内仍有六成亏损	0
近期重点关注铜锌 设好止损积极跟进	0
兴业基金开通招行卡网上直销	0
中行推出首款带安全垫的投资产品	0
钢铁行业限产风暴将延续	0
大地艺术大师克里斯托夫妇	0
蓝筹基金成为耀眼明星	0
险企高管薪酬列入监管范围有历史倒退之嫌	0
机构屯兵农业股 基金重仓农业	0
利好传闻提振铝价增仓上涨	0
如何看待基金重仓股留存度	0
交易所债券延续反弹 中鼎转债全日大涨30%	0
危机频现 淡定审视铜价不悲观	0
泰迪熊出没 一只拍出数十万元	0
进口和抛储 左右郑糖反弹行情	0
豆类种植面积之争吸引买家入场	0
国内首份期货信托计划出炉	0
上交所分三步推进指数化投资 将推上证380指数	0
曼氏金融在港期货期权合约平转仓期限延至本周五	0
分级基金进取份额：大幅溢价VS大幅折价	0
波罗的海航运交易所总裁：航运业明年难言复苏	0
3倍于国产 今年大豆进口量或超5000万吨	0
基金开闸一对多 优秀人才纷纷流向专户	0
多因素造就农产品牛市 国内农产品必将分化	0
北京辖区期货保证金达343亿元	0
古玩民藏春天到来 收藏经济蓄势待发	0
同是最佳分析师 期市股市待遇冰火两重天	0
央票稀缺 银行理财面临投资压力	0
海外基金掀起裁员风暴	0
5分钱硬币身价暴涨一万倍 哪些年份更值钱	0
丰产压力显现玉米延续跌势	0
国内商品期货市场止跌回升	0
华夏基金31%股权花落三家	0
保险QDII再添一军 中财再可赴港投资	0
工银瑞信开通10家银行网上汇款交易业务	0
期铝一枝独秀补涨迹象明显	0
证监会新批准四家外国公司QFII资格	0
年报披露产业链欢喜与忧愁 基金在为谁造富	0
两市基指微跌 创新封基露脸	0
政策趋紧担忧加重 基金公司争相回笼自投资金	0
中国国际期货早评：金属抛储稍作休息	0
上投摩根副总经理侯明甫：学会跟市场唱反调	0
最牛封基插双翼 基金泰和又添一掌舵人	0
广塑所：PVC期货上市对现货市场并无冲击	0
黄金的麻辣诱惑：1000美元后还涨多少	0
期市午评：大宗商品普遍震荡 螺纹棉花相对较强	0
涉案三基金经理简历	0
12家基金公司对决：乐观派和悲观派6比6	0
[短讯]美国石油协会4月22日当周美国馏分油库存减少152.5万桶	0
稳定仓位 QFII持股以静制动	0
北京期货业09年重点做好六项工作	0
商品投资需求将保持强势	0
信用卡诈骗花样翻新 读卡器随意交易成监控难点	0
期市收评：有色金属延续跌势 棉花糖强势反弹	0
油价再创两年半新高 带动金银价格反弹	0
市场调查：沪铜关前蓄势分析师观望为主	0
三要素助基金私募产品跑赢公募	0
AIG陷危机：友邦保单还靠得住吗	0
房贷新政细则有待明确 广州多家银行暂停房贷	0
信诚三得益债基分红	0
国内股票基金忙赎回 QFII上月仍净申购	0
贺强：适时推出股指期货 为市场提供避险工具	0
倒V形反转后 塑料重回震荡格局	0
中国将设首只海外投资人民币基金	0
期货日报：钢材现货价格大幅上涨 期价小幅震荡	0
沪铜高开整理 有望突破60日均线阻力	0
